file_name,image_id,video_id,is_NR,n_rip_ann,has_rip
RipVIS-NR-026_00600.jpg,1,RipVIS-NR-026,1,0,0
RipVIS-NR-020_00420.jpg,2,RipVIS-NR-020,1,0,0
RipVIS-026_00158.jpg,3,RipVIS-026,0,2,1
RipVIS-143_00036.jpg,4,RipVIS-143,0,1,1
RipVIS-NR-022_00636.jpg,5,RipVIS-NR-022,1,0,0
RipVIS-102_00276.jpg,6,RipVIS-102,0,2,1
RipVIS-102_00066.jpg,7,RipVIS-102,0,2,1
RipVIS-128_00510.jpg,8,RipVIS-128,0,1,1
RipVIS-NR-022_01788.jpg,9,RipVIS-NR-022,1,0,0
RipVIS-024_00077.jpg,10,RipVIS-024,0,1,1
RipVIS-NR-026_00324.jpg,11,RipVIS-NR-026,1,0,0
RipVIS-NR-022_00498.jpg,12,RipVIS-NR-022,1,0,0
RipVIS-NR-020_01500.jpg,13,RipVIS-NR-020,1,0,0
RipVIS-026_00154.jpg,14,RipVIS-026,0,2,1
RipVIS-NR-022_01632.jpg,15,RipVIS-NR-022,1,0,0
RipVIS-026_00203.jpg,16,RipVIS-026,0,2,1
RipVIS-NR-024_01146.jpg,17,RipVIS-NR-024,1,0,0
RipVIS-121_00450.jpg,18,RipVIS-121,0,1,1
RipVIS-NR-020_02028.jpg,19,RipVIS-NR-020,1,0,0
RipVIS-014_00118.jpg,20,RipVIS-014,0,1,1
RipVIS-079_00162.jpg,21,RipVIS-079,0,2,1
RipVIS-143_00396.jpg,22,RipVIS-143,0,1,1
RipVIS-133_00330.jpg,23,RipVIS-133,0,2,1
RipVIS-NR-026_00624.jpg,24,RipVIS-NR-026,1,0,0
RipVIS-109_00528.jpg,25,RipVIS-109,0,2,1
RipVIS-108_00528.jpg,26,RipVIS-108,0,2,1
RipVIS-079_01662.jpg,27,RipVIS-079,0,2,1
RipVIS-014_00115.jpg,28,RipVIS-014,0,1,1
RipVIS-079_01104.jpg,29,RipVIS-079,0,2,1
RipVIS-102_00462.jpg,30,RipVIS-102,0,2,1
RipVIS-NR-024_00138.jpg,31,RipVIS-NR-024,1,0,0
RipVIS-NR-020_00888.jpg,32,RipVIS-NR-020,1,0,0
RipVIS-128_00330.jpg,33,RipVIS-128,0,1,1
RipVIS-NR-019_00768.jpg,34,RipVIS-NR-019,1,0,0
RipVIS-143_01356.jpg,35,RipVIS-143,0,2,1
RipVIS-NR-026_00216.jpg,36,RipVIS-NR-026,1,0,0
RipVIS-090_00348.jpg,37,RipVIS-090,0,3,1
RipVIS-NR-020_00522.jpg,38,RipVIS-NR-020,1,0,0
RipVIS-001_00082.jpg,39,RipVIS-001,0,1,1
RipVIS-129_01590.jpg,40,RipVIS-129,0,1,1
RipVIS-046_01050.jpg,41,RipVIS-046,0,2,1
RipVIS-109_00444.jpg,42,RipVIS-109,0,2,1
RipVIS-001_00168.jpg,43,RipVIS-001,0,1,1
RipVIS-001_00073.jpg,44,RipVIS-001,0,1,1
RipVIS-NR-020_01410.jpg,45,RipVIS-NR-020,1,0,0
RipVIS-NR-024_01050.jpg,46,RipVIS-NR-024,1,0,0
RipVIS-NR-024_01356.jpg,47,RipVIS-NR-024,1,0,0
RipVIS-108_01086.jpg,48,RipVIS-108,0,2,1
RipVIS-102_00180.jpg,49,RipVIS-102,0,2,1
RipVIS-NR-020_02112.jpg,50,RipVIS-NR-020,1,0,0
