file_name,n_regions,width_mean_min,width_mean_median,area_px_total,area_frac_total
RipDetSeg-00151ge6qglv.png,0,,,0,0.0
RipDetSeg-004ukanh3sbj.png,1,80.01765149902258,80.01765149902258,129196,0.180086951794583
RipDetSeg-005pvqvadojz.png,1,18.922922922922922,18.922922922922922,47260,0.051280381944444446
RipDetSeg-006ocgrxw825.png,1,81.39241958494506,81.39241958494506,43234,0.055513183000644575
RipDetSeg-007tzvyx9ojc.png,1,80.8781690140845,80.8781690140845,344541,0.16615596064814814
RipDetSeg-009d9zjfh7xs.png,0,,,0,0.0
RipDetSeg-00d6bgv65rou.png,1,131.07193814370714,131.07193814370714,84759,0.2468258220829596
RipDetSeg-00fydfqsbpon.png,1,94.998585572843,94.998585572843,251865,0.12146267361111111
RipDetSeg-00iidme50z1f.png,2,39.39014357780365,41.223516795222935,509206,0.0613915412808642
RipDetSeg-00j7jpkcm92i.png,0,,,0,0.0
RipDetSeg-00k71nvmd1bc.png,2,40.436328125,45.263018431432045,232498,0.25227647569444445
RipDetSeg-00konpdf16au.png,1,3.306325515280739,3.306325515280739,5815,0.002804301697530864
RipDetSeg-00pypphisupi.png,1,92.13947368421053,92.13947368421053,315117,0.15196614583333334
RipDetSeg-00s1r0ae3r6a.png,1,95.95588972431078,95.95588972431078,430722,0.20771701388888889
RipDetSeg-00t0pk1pdomv.png,2,54.17104714226116,56.625243459085766,294131,0.14184558256172838
RipDetSeg-00t1gag19f37.png,1,115.71393939393941,115.71393939393941,71598,0.1747998046875
RipDetSeg-00uibr2y57tz.png,0,,,0,0.0
RipDetSeg-00vanurkqjeb.png,2,56.490054644808744,66.14243664882925,348647,0.16813609182098765
RipDetSeg-00vi4pex2lmo.png,1,31.459104477611945,31.459104477611945,52694,0.057176649305555556
RipDetSeg-00x3s3uuwch3.png,3,28.548800783162015,49.073346430910284,749018,0.09030406057098765
RipDetSeg-00xleer7bk2v.png,0,,,0,0.0
RipDetSeg-010r995f7cau.png,3,3.83394185260311,5.477237851662404,27297,0.006559256055363323
RipDetSeg-0136z99l93gr.png,0,,,0,0.0
